source_table,dvfsl,link_protection,efficiency_mode,twtr_s_ns_floor,twtr_s_nck_floor,twtr_l_ns_floor,twtr_l_nck_floor,status
T414,disabled,disabled,disabled,6.25,6,12.0,6,seeded
T416,disabled,disabled,enabled,8.25,6,14.0,6,seeded
T417,disabled,enabled,disabled,10.25,6,16.0,6,seeded
T418,disabled,enabled,enabled,12.25,6,18.0,6,seeded
T419,enabled,disabled,disabled,7.2,6,13.8,6,seeded
T421,enabled,disabled,enabled,9.5,6,16.1,6,seeded
T422,enabled,enabled,disabled,11.8,6,18.4,6,seeded
T423,enabled,enabled,enabled,14.1,6,20.7,6,seeded
