table_id,mr1_op,rl_nck,wl_set_a_nck,wl_set_b_nck,nwtp_nck,nrtp_bl24_nck,nrtp_bl48_nck,nacu_nck,source,status
T57,00011,15,8,13,12,7,13,16,Table57,seeded
T57,00100,17,10,15,13,7,13,18,Table57,seeded
T57,00101,20,12,18,15,8,14,21,Table57,seeded
T57,00110,23,12,21,18,8,14,24,Table57,seeded
T57,00111,26,14,24,20,8,14,27,Table57,seeded
T57,01000,30,16,28,23,8,14,31,Table57,seeded
T57,01001,34,18,32,26,8,14,36,Table57,seeded
T57,01010,40,20,38,31,11,23,42,Table57,seeded
T57,01011,46,22,44,35,11,23,47,Table57,seeded
T57,01100,52,24,50,39,13,25,53,Table57,seeded
T57,01101,56,26,54,43,14,26,59,Table57,seeded
T57,01110,TBD,TBD,TBD,TBD,TBD,TBD,TBD,Table57,tbd
T57,01111,TBD,TBD,TBD,TBD,TBD,TBD,TBD,Table57,tbd
T57,10000,TBD,TBD,TBD,TBD,TBD,TBD,TBD,Table57,tbd
T58,00000,7,4,5,6,7,13,6,Table58,seeded
T58,00001,10,6,7,7,7,13,9,Table58,seeded
T58,00010,13,8,10,9,7,13,12,Table58,seeded
T58,00011,17,8,13,12,7,13,16,Table58,seeded
T58,00100,19,10,15,13,7,13,18,Table58,seeded
T58,00101,22,12,18,15,8,14,21,Table58,seeded
T58,00110,25,12,21,18,8,14,24,Table58,seeded
T58,00111,28,14,24,20,8,14,27,Table58,seeded
T58,01000,32,16,28,23,8,14,31,Table58,seeded
T58,01001,37,18,32,26,8,14,36,Table58,seeded
T58,01010,44,20,38,31,11,23,42,Table58,seeded
T58,01011,50,22,44,35,11,23,47,Table58,seeded
T58,01100,56,24,50,39,13,25,53,Table58,seeded
T58,01101,62,26,54,43,14,26,59,Table58,seeded
T58,01110,TBD,TBD,TBD,TBD,TBD,TBD,TBD,Table58,tbd
T58,01111,TBD,TBD,TBD,TBD,TBD,TBD,TBD,Table58,tbd
T58,10000,TBD,TBD,TBD,TBD,TBD,TBD,TBD,Table58,tbd
T59,00000,7,4,5,6,7,13,6,Table59,seeded
T59,00001,10,6,7,8,7,13,9,Table59,seeded
T59,00010,13,8,10,10,7,13,12,Table59,seeded
T59,00011,17,8,13,13,7,13,16,Table59,seeded
T59,00100,19,10,15,15,7,13,18,Table59,seeded
T59,00101,22,12,18,17,8,14,21,Table59,seeded
T59,00110,25,12,21,20,8,14,24,Table59,seeded
T59,00111,28,14,24,22,8,14,27,Table59,seeded
T59,01000,32,16,28,25,8,14,31,Table59,seeded
T59,01001,37,18,32,29,8,14,36,Table59,seeded
T59,01010,44,20,38,34,11,23,42,Table59,seeded
T59,01011,50,22,44,39,11,23,47,Table59,seeded
T59,01100,56,24,50,44,13,25,53,Table59,seeded
T59,01101,62,26,54,48,14,26,59,Table59,seeded
T59,01110,TBD,TBD,TBD,TBD,TBD,TBD,TBD,Table59,tbd
T59,01111,TBD,TBD,TBD,TBD,TBD,TBD,TBD,Table59,tbd
T59,10000,TBD,TBD,TBD,TBD,TBD,TBD,TBD,Table59,tbd
T60,00000,8,4,5,6,7,13,6,Table60,seeded
T60,00001,11,6,7,8,7,13,9,Table60,seeded
T60,00010,14,8,10,10,7,13,12,Table60,seeded
T60,00011,18,8,13,13,7,13,16,Table60,seeded
T60,00100,21,10,15,15,7,13,18,Table60,seeded
T60,00101,24,12,18,17,8,14,21,Table60,seeded
T60,00110,28,12,21,20,8,14,24,Table60,seeded
T60,00111,31,14,24,22,8,14,27,Table60,seeded
T60,01000,35,16,28,25,8,14,31,Table60,seeded
T60,01001,41,18,32,29,8,14,36,Table60,seeded
T60,01010,48,20,38,34,11,23,42,Table60,seeded
T60,01011,54,22,44,39,11,23,47,Table60,seeded
T60,01100,62,24,50,44,13,25,53,Table60,seeded
T60,01101,68,26,54,48,14,26,59,Table60,seeded
T60,01110,TBD,TBD,TBD,TBD,TBD,TBD,TBD,Table60,tbd
T60,01111,TBD,TBD,TBD,TBD,TBD,TBD,TBD,Table60,tbd
T60,10000,TBD,TBD,TBD,TBD,TBD,TBD,TBD,Table60,tbd
T61,00000,7,4,5,6,7,13,7,Table61,seeded
T61,00001,10,6,7,8,7,13,11,Table61,seeded
T61,00010,14,8,10,10,7,13,14,Table61,seeded
T61,00011,17,8,13,13,8,14,18,Table61,seeded
T61,00100,20,10,15,15,8,14,21,Table61,seeded
T62,00000,8,4,5,6,7,13,7,Table62,seeded
T62,00001,11,6,7,8,7,13,11,Table62,seeded
T62,00010,15,8,10,10,7,13,14,Table62,seeded
T62,00011,19,8,13,13,8,14,18,Table62,seeded
T62,00100,22,10,15,15,8,14,21,Table62,seeded
T63,00000,8,4,5,6,7,13,7,Table63,seeded
T63,00001,11,6,7,9,7,13,11,Table63,seeded
T63,00010,15,8,10,12,7,13,14,Table63,seeded
T63,00011,19,8,13,15,8,14,18,Table63,seeded
T63,00100,22,10,15,17,8,14,21,Table63,seeded
T64,00000,9,4,5,6,7,13,7,Table64,seeded
T64,00001,12,6,7,9,7,13,11,Table64,seeded
T64,00010,16,8,10,12,7,13,14,Table64,seeded
T64,00011,21,8,13,15,8,14,18,Table64,seeded
T64,00100,24,10,15,17,8,14,21,Table64,seeded
T65,00000,7,4,5,6,7,13,6,Table65,seeded
T65,00001,11,6,7,6,7,13,9,Table65,seeded
T65,00010,14,8,10,7,7,13,12,Table65,seeded
T65,00011,17,8,13,9,7,13,16,Table65,seeded
T65,00100,20,10,15,10,7,13,18,Table65,seeded
