scenario_id,current_cmd,next_cmd,bank_relation,burst_length,requested_gap_nck,ws_operand,data_rate_mbps,MR1.OP[4:0],MR1.OP[5],MR1.OP[6],MR11.OP[4],MR23.OP[0],MR23.OP[2],result_state,min_nck,max_nck,rule_id,warning_count,RL,WL,tWTR_S,tWTR_L,WR->RD min (diff BG),WR->RD min (same BG),tRTW
ui_query,WR,RD,different_bank_different_bg,BL24,24,0,1600.0,00001,1,1,0,0,0,not_allowed_without_new_sync,,,T263_WR_TO_RD_DIFF,0,10,7,6,6,,,10
ui_query,WR,RD,different_bank_different_bg,BL24,24,0,1600.0,00001,1,1,0,0,1,not_allowed_without_new_sync,,,T263_WR_TO_RD_DIFF,0,11,7,6,6,,,12
ui_query,WR,RD,different_bank_different_bg,BL24,24,0,1600.0,00001,1,1,0,1,0,not_allowed_without_new_sync,,,T263_WR_TO_RD_DIFF,0,10,7,6,8,,,10
ui_query,WR,RD,different_bank_different_bg,BL24,24,0,1600.0,00001,1,1,0,1,1,not_allowed_without_new_sync,,,T263_WR_TO_RD_DIFF,0,11,7,6,8,,,12
ui_query,WR,RD,different_bank_different_bg,BL24,24,0,2133.0,00010,0,0,0,0,0,not_allowed_without_new_sync,,,T263_WR_TO_RD_DIFF,0,12,8,6,7,,,12
ui_query,WR,RD,different_bank_different_bg,BL24,24,0,2133.0,00010,0,0,0,0,1,not_allowed_without_new_sync,,,T263_WR_TO_RD_DIFF,0,14,8,6,7,,,14
ui_query,WR,RD,different_bank_different_bg,BL24,24,0,2133.0,00010,0,0,0,1,0,not_allowed_without_new_sync,,,T263_WR_TO_RD_DIFF,0,12,8,6,9,,,12
ui_query,WR,RD,different_bank_different_bg,BL24,24,0,2133.0,00010,0,0,0,1,1,not_allowed_without_new_sync,,,T263_WR_TO_RD_DIFF,0,14,8,6,9,,,14
ui_query,WR,RD,different_bank_different_bg,BL24,24,0,2133.0,00010,0,1,0,0,0,not_allowed_without_new_sync,,,T263_WR_TO_RD_DIFF,0,13,8,6,8,,,12
ui_query,WR,RD,different_bank_different_bg,BL24,24,0,2133.0,00010,0,1,0,0,1,not_allowed_without_new_sync,,,T263_WR_TO_RD_DIFF,0,15,8,6,8,,,14
ui_query,WR,RD,different_bank_different_bg,BL24,24,0,2133.0,00010,0,1,0,1,0,not_allowed_without_new_sync,,,T263_WR_TO_RD_DIFF,0,13,8,7,10,,,12
ui_query,WR,RD,different_bank_different_bg,BL24,24,0,2133.0,00010,0,1,0,1,1,not_allowed_without_new_sync,,,T263_WR_TO_RD_DIFF,0,15,8,7,10,,,14
ui_query,WR,RD,different_bank_different_bg,BL24,24,0,2133.0,00010,1,0,0,0,0,not_allowed_without_new_sync,,,T263_WR_TO_RD_DIFF,0,12,10,6,7,,,10
ui_query,WR,RD,different_bank_different_bg,BL24,24,0,2133.0,00010,1,0,0,0,1,not_allowed_without_new_sync,,,T263_WR_TO_RD_DIFF,0,14,10,6,7,,,12
ui_query,WR,RD,different_bank_different_bg,BL24,24,0,2133.0,00010,1,0,0,1,0,not_allowed_without_new_sync,,,T263_WR_TO_RD_DIFF,0,12,10,6,9,,,10
ui_query,WR,RD,different_bank_different_bg,BL24,24,0,2133.0,00010,1,0,0,1,1,not_allowed_without_new_sync,,,T263_WR_TO_RD_DIFF,0,14,10,6,9,,,12
ui_query,WR,RD,different_bank_different_bg,BL24,24,0,2133.0,00010,1,1,0,0,0,not_allowed_without_new_sync,,,T263_WR_TO_RD_DIFF,0,13,10,6,8,,,10
ui_query,WR,RD,different_bank_different_bg,BL24,24,0,2133.0,00010,1,1,0,0,1,not_allowed_without_new_sync,,,T263_WR_TO_RD_DIFF,0,15,10,6,8,,,12
ui_query,WR,RD,different_bank_different_bg,BL24,24,0,2133.0,00010,1,1,0,1,0,not_allowed_without_new_sync,,,T263_WR_TO_RD_DIFF,0,13,10,7,10,,,10
ui_query,WR,RD,different_bank_different_bg,BL24,24,0,2133.0,00010,1,1,0,1,1,not_allowed_without_new_sync,,,T263_WR_TO_RD_DIFF,0,15,10,7,10,,,12
ui_query,WR,RD,different_bank_different_bg,BL24,24,0,2750.0,00011,0,0,0,0,0,not_allowed_without_new_sync,,,T263_WR_TO_RD_DIFF,0,15,8,6,9,,,16
ui_query,WR,RD,different_bank_different_bg,BL24,24,0,2750.0,00011,0,0,0,0,1,not_allowed_without_new_sync,,,T263_WR_TO_RD_DIFF,0,17,8,6,9,,,18
ui_query,WR,RD,different_bank_different_bg,BL24,24,0,2750.0,00011,0,0,0,1,0,not_allowed_without_new_sync,,,T263_WR_TO_RD_DIFF,0,15,8,8,11,,,16
ui_query,WR,RD,different_bank_different_bg,BL24,24,0,2750.0,00011,0,0,0,1,1,not_allowed_without_new_sync,,,T263_WR_TO_RD_DIFF,0,17,8,8,11,,,18
