source_table,dvfsl,write_link_protection,efficiency_mode,mr1_op,data_rate_lower_mbps,data_rate_upper_mbps,ck_lower_mhz_exclusive,ck_upper_mhz_inclusive,nwtp_nck,formula_floor,status
Table277,disabled,enabled,enabled,00100,2750,3200,688,800,15,Max(18ns;6nCK),seeded
Table277,disabled,enabled,enabled,00101,3200,3750,800,938,17,Max(18ns;6nCK),seeded
Table277,disabled,enabled,enabled,00110,3750,4267,938,1067,20,Max(18ns;6nCK),seeded
Table277,disabled,enabled,enabled,00111,4267,4800,1067,1200,22,Max(18ns;6nCK),seeded
Table277,disabled,enabled,enabled,01000,4800,5500,1200,1375,25,Max(18ns;6nCK),seeded
Table277,disabled,enabled,enabled,01001,5500,6400,1375,1600,29,Max(18ns;6nCK),seeded
Table277,disabled,enabled,enabled,01010,6400,7500,1600,1875,34,Max(18ns;6nCK),seeded
Table277,disabled,enabled,enabled,01011,7500,8533,1875,2133,39,Max(18ns;6nCK),seeded
Table277,disabled,enabled,enabled,01100,8533,9600,2133,2400,44,Max(18ns;6nCK),seeded
Table277,disabled,enabled,enabled,01101,9600,10667,2400,2667,48,Max(18ns;6nCK),seeded
Table277,disabled,enabled,enabled,01110,10667,11733,2667,2933,TBD,Max(18ns;6nCK),tbd
Table277,disabled,enabled,enabled,01111,11733,12800,2933,3200,TBD,Max(18ns;6nCK),tbd
Table277,disabled,enabled,enabled,10000,12800,14400,3200,3600,TBD,Max(18ns;6nCK),tbd
Table278,enabled,disabled,disabled,00000,80,1067,20,267,6,Max(13.8ns;6nCK),seeded
Table278,enabled,disabled,disabled,00001,1067,1600,267,400,6,Max(13.8ns;6nCK),seeded
Table278,enabled,disabled,disabled,00010,1600,2133,400,533,8,Max(13.8ns;6nCK),seeded
Table278,enabled,disabled,disabled,00011,2133,2750,533,688,10,Max(13.8ns;6nCK),seeded
Table278,enabled,disabled,disabled,00100,2750,3200,688,800,12,Max(13.8ns;6nCK),seeded
Table279,enabled,disabled,enabled,00000,80,1067,20,267,6,Max(16.1ns;6nCK),seeded
Table279,enabled,disabled,enabled,00001,1067,1600,267,400,7,Max(16.1ns;6nCK),seeded
Table279,enabled,disabled,enabled,00010,1600,2133,400,533,9,Max(16.1ns;6nCK),seeded
Table279,enabled,disabled,enabled,00011,2133,2750,533,688,12,Max(16.1ns;6nCK),seeded
Table279,enabled,disabled,enabled,00100,2750,3200,688,800,13,Max(16.1ns;6nCK),seeded
Table280,enabled,enabled,disabled,00000,80,1067,20,267,6,Max(18.4ns;6nCK),seeded
Table280,enabled,enabled,disabled,00001,1067,1600,267,400,8,Max(18.4ns;6nCK),seeded
Table280,enabled,enabled,disabled,00010,1600,2133,400,533,10,Max(18.4ns;6nCK),seeded
Table280,enabled,enabled,disabled,00011,2133,2750,533,688,13,Max(18.4ns;6nCK),seeded
Table280,enabled,enabled,disabled,00100,2750,3200,688,800,15,Max(18.4ns;6nCK),seeded
Table281,enabled,enabled,enabled,00000,80,1067,20,267,6,Max(20.7ns;6nCK),seeded
Table281,enabled,enabled,enabled,00001,1067,1600,267,400,9,Max(20.7ns;6nCK),seeded
Table281,enabled,enabled,enabled,00010,1600,2133,400,533,12,Max(20.7ns;6nCK),seeded
Table281,enabled,enabled,enabled,00011,2133,2750,533,688,15,Max(20.7ns;6nCK),seeded
Table281,enabled,enabled,enabled,00100,2750,3200,688,800,17,Max(20.7ns;6nCK),seeded
